Words indicating Real,Weights,Words indicating Fake,Weights
reuters,1.73,politics,-0.77
politicsnews,0.96,video,-0.70
worldnews,0.75,leftnews,-0.54
said,0.40,via,-0.49
minister,0.22,news,-0.49
wednesday,0.20,image,-0.45
friday,0.20,hillary,-0.39
washington,0.20,like,-0.27
thursday,0.19,gop,-0.27
tuesday,0.19,even,-0.26
presidential,0.16,watch,-0.25
monday,0.15,american,-0.24
representative,0.13,america,-0.24
market,0.12,know,-0.22
china,0.12,mr,-0.20
britain,0.12,get,-0.19
percent,0.12,go,-0.19
eu,0.11,really,-0.18
spokesman,0.11,time,-0.18
leader,0.11,obama,-0.18
statement,0.11,story,-0.17
party,0.11,thing,-0.17
york,0.10,fact,-0.16
healthcare,0.10,black,-0.16
agency,0.10,report,-0.16
region,0.10,show,-0.16
saying,0.10,john,-0.15
killed,0.09,another,-0.15
twitter,0.09,member,-0.15
comment,0.09,liberal,-0.15
republican,0.09,claim,-0.15
opposition,0.09,come,-0.14
year,0.09,terrorist,-0.14
election,0.09,host,-0.14
lawmaker,0.08,went,-0.14
european,0.08,actually,-0.14
whether,0.08,one,-0.13
democratic,0.08,left,-0.13
measure,0.08,today,-0.13
tax,0.08,man,-0.13
coalition,0.08,way,-0.13
ruling,0.08,every,-0.13
including,0.08,anyone,-0.13
month,0.08,press,-0.12
bank,0.08,according,-0.12
house,0.08,believe,-0.12
reporter,0.08,make,-0.12
poll,0.08,life,-0.12
senate,0.08,got,-0.12
reform,0.08,cnn,-0.12
union,0.07,let,-0.11
prime,0.07,something,-0.11
trade,0.07,tell,-0.11
crisis,0.07,democrat,-0.11
united,0.07,student,-0.10
rule,0.07,back,-0.10
meeting,0.07,money,-0.10
among,0.07,racist,-0.10
campaign,0.07,well,-0.10
expected,0.07,department,-0.10
financial,0.07,nothing,-0.10
court,0.07,post,-0.10
debate,0.06,fbi,-0.10
economic,0.06,never,-0.10
south,0.06,stand,-0.10
barack,0.06,word,-0.10
foreign,0.06,reason,-0.10
islamic,0.06,illegal,-0.10
last,0.06,take,-0.09
conference,0.06,see,-0.09
budget,0.06,threat,-0.09
chief,0.06,matter,-0.09
company,0.06,night,-0.09
talk,0.05,officer,-0.09
clinton,0.05,someone,-0.09
earlier,0.05,want,-0.09
since,0.05,victim,-0.09
country,0.05,keep,-0.09
early,0.05,live,-0.08
added,0.05,much,-0.08
mexico,0.05,water,-0.08
two,0.05,syria,-0.08
next,0.05,put,-0.08
former,0.05,look,-0.08
term,0.05,muslim,-0.08
social,0.05,number,-0.08
president,0.05,special,-0.08
future,0.05,order,-0.08
control,0.05,course,-0.08
iraq,0.05,family,-0.08
saturday,0.04,world,-0.08
legislation,0.04,missile,-0.07
authority,0.04,friend,-0.07
group,0.04,criminal,-0.07
u,0.04,document,-0.07
decade,0.04,stop,-0.07
account,0.04,ever,-0.07
saudi,0.04,attorney,-0.07
agreement,0.04,citizen,-0.07
race,0.04,give,-0.07
