Words indicating Real,Weights,Words indicating Fake,Weights
reuters,1.14,video,-0.54
politicsnews,0.59,politics,-0.49
worldnews,0.47,news,-0.41
said,0.43,via,-0.34
minister,0.19,image,-0.33
washington,0.16,leftnews,-0.32
wednesday,0.15,hillary,-0.29
friday,0.15,like,-0.25
thursday,0.14,american,-0.22
tuesday,0.14,even,-0.22
presidential,0.12,america,-0.19
monday,0.12,know,-0.19
percent,0.12,gop,-0.18
china,0.11,get,-0.18
leader,0.10,watch,-0.18
party,0.10,obama,-0.17
eu,0.10,time,-0.17
representative,0.09,one,-0.16
britain,0.09,go,-0.15
house,0.09,thing,-0.15
spokesman,0.08,mr,-0.14
republican,0.08,black,-0.14
election,0.08,really,-0.13
agency,0.08,show,-0.13
trade,0.07,fact,-0.13
market,0.07,story,-0.13
u,0.07,make,-0.12
region,0.07,way,-0.12
statement,0.07,come,-0.12
european,0.07,report,-0.11
poll,0.07,man,-0.11
prime,0.07,terrorist,-0.11
court,0.07,john,-0.11
senate,0.07,claim,-0.11
tax,0.07,went,-0.11
comment,0.07,life,-0.10
opposition,0.07,every,-0.10
democratic,0.07,another,-0.10
york,0.07,actually,-0.10
month,0.07,got,-0.10
lawmaker,0.07,today,-0.10
including,0.06,left,-0.10
healthcare,0.06,liberal,-0.10
united,0.06,member,-0.10
year,0.06,back,-0.10
rule,0.06,fbi,-0.09
measure,0.06,host,-0.09
killed,0.06,press,-0.09
ruling,0.06,something,-0.09
coalition,0.06,cnn,-0.09
last,0.06,never,-0.09
union,0.06,anyone,-0.09
campaign,0.06,believe,-0.09
foreign,0.06,going,-0.09
reform,0.06,let,-0.09
expected,0.05,student,-0.09
meeting,0.05,think,-0.09
bank,0.05,tell,-0.09
reporter,0.05,well,-0.08
economic,0.05,see,-0.08
south,0.05,want,-0.08
saying,0.05,money,-0.08
among,0.05,much,-0.08
whether,0.05,racist,-0.08
crisis,0.05,family,-0.08
budget,0.05,department,-0.08
financial,0.05,word,-0.08
chief,0.04,according,-0.08
mexico,0.04,nothing,-0.08
talk,0.04,muslim,-0.08
former,0.04,officer,-0.07
twitter,0.04,woman,-0.07
since,0.04,reason,-0.07
country,0.04,illegal,-0.07
islamic,0.04,look,-0.07
saudi,0.04,take,-0.07
legislation,0.04,matter,-0.07
next,0.04,democrat,-0.07
new,0.04,post,-0.07
earlier,0.04,live,-0.07
barack,0.04,fox,-0.07
group,0.04,stand,-0.07
debate,0.04,someone,-0.07
told,0.04,night,-0.07
authority,0.04,gun,-0.07
company,0.03,ever,-0.06
billion,0.03,water,-0.06
saturday,0.03,keep,-0.06
conference,0.03,school,-0.06
two,0.03,course,-0.06
early,0.03,put,-0.06
russia,0.03,world,-0.06
ally,0.03,right,-0.06
iraq,0.03,victim,-0.06
economy,0.03,threat,-0.06
agreement,0.03,friend,-0.06
week,0.03,need,-0.06
president,0.03,made,-0.06
added,0.03,anything,-0.06
state,0.03,interview,-0.06
